,artist,track,date_entered,wk,rank
73,De La Soul,All Good?,2000-12-23,1,96.0
390,De La Soul,All Good?,2000-12-23,2,96.0
707,De La Soul,All Good?,2000-12-23,3,100.0
74,Destiny's Child,Independent Women Pa...,2000-09-23,1,78.0
391,Destiny's Child,Independent Women Pa...,2000-09-23,2,63.0
708,Destiny's Child,Independent Women Pa...,2000-09-23,3,49.0
1025,Destiny's Child,Independent Women Pa...,2000-09-23,4,33.0
1342,Destiny's Child,Independent Women Pa...,2000-09-23,5,23.0
1659,Destiny's Child,Independent Women Pa...,2000-09-23,6,15.0
1976,Destiny's Child,Independent Women Pa...,2000-09-23,7,7.0
2293,Destiny's Child,Independent Women Pa...,2000-09-23,8,5.0
2610,Destiny's Child,Independent Women Pa...,2000-09-23,9,1.0
2927,Destiny's Child,Independent Women Pa...,2000-09-23,10,1.0
3244,Destiny's Child,Independent Women Pa...,2000-09-23,11,1.0
3561,Destiny's Child,Independent Women Pa...,2000-09-23,12,1.0
3878,Destiny's Child,Independent Women Pa...,2000-09-23,13,1.0
4195,Destiny's Child,Independent Women Pa...,2000-09-23,14,1.0
4512,Destiny's Child,Independent Women Pa...,2000-09-23,15,1.0
4829,Destiny's Child,Independent Women Pa...,2000-09-23,16,1.0
5146,Destiny's Child,Independent Women Pa...,2000-09-23,17,1.0
5463,Destiny's Child,Independent Women Pa...,2000-09-23,18,1.0
5780,Destiny's Child,Independent Women Pa...,2000-09-23,19,1.0
6097,Destiny's Child,Independent Women Pa...,2000-09-23,20,2.0
6414,Destiny's Child,Independent Women Pa...,2000-09-23,21,3.0
6731,Destiny's Child,Independent Women Pa...,2000-09-23,22,7.0
7048,Destiny's Child,Independent Women Pa...,2000-09-23,23,10.0
7365,Destiny's Child,Independent Women Pa...,2000-09-23,24,12.0
7682,Destiny's Child,Independent Women Pa...,2000-09-23,25,15.0
7999,Destiny's Child,Independent Women Pa...,2000-09-23,26,22.0
8316,Destiny's Child,Independent Women Pa...,2000-09-23,27,29.0
8633,Destiny's Child,Independent Women Pa...,2000-09-23,28,31.0
75,Destiny's Child,Jumpin' Jumpin',2000-05-13,1,74.0
392,Destiny's Child,Jumpin' Jumpin',2000-05-13,2,71.0
709,Destiny's Child,Jumpin' Jumpin',2000-05-13,3,65.0
1026,Destiny's Child,Jumpin' Jumpin',2000-05-13,4,62.0
1343,Destiny's Child,Jumpin' Jumpin',2000-05-13,5,57.0
1660,Destiny's Child,Jumpin' Jumpin',2000-05-13,6,50.0
1977,Destiny's Child,Jumpin' Jumpin',2000-05-13,7,40.0
2294,Destiny's Child,Jumpin' Jumpin',2000-05-13,8,37.0
2611,Destiny's Child,Jumpin' Jumpin',2000-05-13,9,22.0
2928,Destiny's Child,Jumpin' Jumpin',2000-05-13,10,18.0
3245,Destiny's Child,Jumpin' Jumpin',2000-05-13,11,13.0
3562,Destiny's Child,Jumpin' Jumpin',2000-05-13,12,8.0
3879,Destiny's Child,Jumpin' Jumpin',2000-05-13,13,6.0
4196,Destiny's Child,Jumpin' Jumpin',2000-05-13,14,4.0
4513,Destiny's Child,Jumpin' Jumpin',2000-05-13,15,3.0
4830,Destiny's Child,Jumpin' Jumpin',2000-05-13,16,4.0
5147,Destiny's Child,Jumpin' Jumpin',2000-05-13,17,3.0
5464,Destiny's Child,Jumpin' Jumpin',2000-05-13,18,3.0
5781,Destiny's Child,Jumpin' Jumpin',2000-05-13,19,3.0
6098,Destiny's Child,Jumpin' Jumpin',2000-05-13,20,3.0
6415,Destiny's Child,Jumpin' Jumpin',2000-05-13,21,4.0
6732,Destiny's Child,Jumpin' Jumpin',2000-05-13,22,4.0
7049,Destiny's Child,Jumpin' Jumpin',2000-05-13,23,6.0
7366,Destiny's Child,Jumpin' Jumpin',2000-05-13,24,7.0
7683,Destiny's Child,Jumpin' Jumpin',2000-05-13,25,6.0
8000,Destiny's Child,Jumpin' Jumpin',2000-05-13,26,8.0
8317,Destiny's Child,Jumpin' Jumpin',2000-05-13,27,10.0
8634,Destiny's Child,Jumpin' Jumpin',2000-05-13,28,15.0
8951,Destiny's Child,Jumpin' Jumpin',2000-05-13,29,24.0
9268,Destiny's Child,Jumpin' Jumpin',2000-05-13,30,30.0
9585,Destiny's Child,Jumpin' Jumpin',2000-05-13,31,35.0
9902,Destiny's Child,Jumpin' Jumpin',2000-05-13,32,39.0
76,Destiny's Child,Say My Name,1999-12-25,1,83.0
393,Destiny's Child,Say My Name,1999-12-25,2,83.0
710,Destiny's Child,Say My Name,1999-12-25,3,44.0
1027,Destiny's Child,Say My Name,1999-12-25,4,38.0
1344,Destiny's Child,Say My Name,1999-12-25,5,16.0
1661,Destiny's Child,Say My Name,1999-12-25,6,13.0
1978,Destiny's Child,Say My Name,1999-12-25,7,16.0
2295,Destiny's Child,Say My Name,1999-12-25,8,16.0
2612,Destiny's Child,Say My Name,1999-12-25,9,16.0
2929,Destiny's Child,Say My Name,1999-12-25,10,18.0
3246,Destiny's Child,Say My Name,1999-12-25,11,17.0
3563,Destiny's Child,Say My Name,1999-12-25,12,14.0
3880,Destiny's Child,Say My Name,1999-12-25,13,1.0
4197,Destiny's Child,Say My Name,1999-12-25,14,1.0
4514,Destiny's Child,Say My Name,1999-12-25,15,1.0
4831,Destiny's Child,Say My Name,1999-12-25,16,2.0
5148,Destiny's Child,Say My Name,1999-12-25,17,2.0
5465,Destiny's Child,Say My Name,1999-12-25,18,3.0
5782,Destiny's Child,Say My Name,1999-12-25,19,5.0
6099,Destiny's Child,Say My Name,1999-12-25,20,5.0
6416,Destiny's Child,Say My Name,1999-12-25,21,5.0
6733,Destiny's Child,Say My Name,1999-12-25,22,7.0
7050,Destiny's Child,Say My Name,1999-12-25,23,10.0
7367,Destiny's Child,Say My Name,1999-12-25,24,13.0
7684,Destiny's Child,Say My Name,1999-12-25,25,14.0
8001,Destiny's Child,Say My Name,1999-12-25,26,18.0
8318,Destiny's Child,Say My Name,1999-12-25,27,23.0
8635,Destiny's Child,Say My Name,1999-12-25,28,23.0
8952,Destiny's Child,Say My Name,1999-12-25,29,34.0
9269,Destiny's Child,Say My Name,1999-12-25,30,37.0
9586,Destiny's Child,Say My Name,1999-12-25,31,43.0
9903,Destiny's Child,Say My Name,1999-12-25,32,47.0
77,"Diffie, Joe",It's Always Somethin...,2000-08-12,1,81.0
394,"Diffie, Joe",It's Always Somethin...,2000-08-12,2,78.0
711,"Diffie, Joe",It's Always Somethin...,2000-08-12,3,67.0
1028,"Diffie, Joe",It's Always Somethin...,2000-08-12,4,63.0
1345,"Diffie, Joe",It's Always Somethin...,2000-08-12,5,60.0
1662,"Diffie, Joe",It's Always Somethin...,2000-08-12,6,57.0
1979,"Diffie, Joe",It's Always Somethin...,2000-08-12,7,63.0
2296,"Diffie, Joe",It's Always Somethin...,2000-08-12,8,69.0
2613,"Diffie, Joe",It's Always Somethin...,2000-08-12,9,78.0
2930,"Diffie, Joe",It's Always Somethin...,2000-08-12,10,85.0
3247,"Diffie, Joe",It's Always Somethin...,2000-08-12,11,92.0
3564,"Diffie, Joe",It's Always Somethin...,2000-08-12,12,92.0
4198,"Diffie, Joe",It's Always Somethin...,2000-08-12,14,99.0
4515,"Diffie, Joe",It's Always Somethin...,2000-08-12,15,100.0
78,"Diffie, Joe",The Quittin' Kind,2000-01-01,1,98.0
395,"Diffie, Joe",The Quittin' Kind,2000-01-01,2,100.0
712,"Diffie, Joe",The Quittin' Kind,2000-01-01,3,100.0
1029,"Diffie, Joe",The Quittin' Kind,2000-01-01,4,90.0
1346,"Diffie, Joe",The Quittin' Kind,2000-01-01,5,93.0
1663,"Diffie, Joe",The Quittin' Kind,2000-01-01,6,94.0
79,"Dion, Celine",That's The Way It Is,1999-11-13,1,74.0
396,"Dion, Celine",That's The Way It Is,1999-11-13,2,68.0
713,"Dion, Celine",That's The Way It Is,1999-11-13,3,65.0
1030,"Dion, Celine",That's The Way It Is,1999-11-13,4,49.0
1347,"Dion, Celine",That's The Way It Is,1999-11-13,5,44.0
1664,"Dion, Celine",That's The Way It Is,1999-11-13,6,34.0
1981,"Dion, Celine",That's The Way It Is,1999-11-13,7,30.0
2298,"Dion, Celine",That's The Way It Is,1999-11-13,8,30.0
2615,"Dion, Celine",That's The Way It Is,1999-11-13,9,17.0
2932,"Dion, Celine",That's The Way It Is,1999-11-13,10,14.0
3249,"Dion, Celine",That's The Way It Is,1999-11-13,11,11.0
3566,"Dion, Celine",That's The Way It Is,1999-11-13,12,8.0
3883,"Dion, Celine",That's The Way It Is,1999-11-13,13,9.0
4200,"Dion, Celine",That's The Way It Is,1999-11-13,14,10.0
4517,"Dion, Celine",That's The Way It Is,1999-11-13,15,11.0
4834,"Dion, Celine",That's The Way It Is,1999-11-13,16,11.0
5151,"Dion, Celine",That's The Way It Is,1999-11-13,17,6.0
5468,"Dion, Celine",That's The Way It Is,1999-11-13,18,8.0
5785,"Dion, Celine",That's The Way It Is,1999-11-13,19,7.0
6102,"Dion, Celine",That's The Way It Is,1999-11-13,20,7.0
6419,"Dion, Celine",That's The Way It Is,1999-11-13,21,9.0
6736,"Dion, Celine",That's The Way It Is,1999-11-13,22,10.0
7053,"Dion, Celine",That's The Way It Is,1999-11-13,23,14.0
7370,"Dion, Celine",That's The Way It Is,1999-11-13,24,16.0
7687,"Dion, Celine",That's The Way It Is,1999-11-13,25,26.0
8004,"Dion, Celine",That's The Way It Is,1999-11-13,26,31.0
8321,"Dion, Celine",That's The Way It Is,1999-11-13,27,35.0
8638,"Dion, Celine",That's The Way It Is,1999-11-13,28,42.0
80,"Dixie Chicks, The",Cold Day In July,2000-06-24,1,80.0
397,"Dixie Chicks, The",Cold Day In July,2000-06-24,2,79.0
714,"Dixie Chicks, The",Cold Day In July,2000-06-24,3,76.0
1031,"Dixie Chicks, The",Cold Day In July,2000-06-24,4,72.0
1348,"Dixie Chicks, The",Cold Day In July,2000-06-24,5,68.0
1665,"Dixie Chicks, The",Cold Day In July,2000-06-24,6,68.0
1982,"Dixie Chicks, The",Cold Day In July,2000-06-24,7,65.0
2299,"Dixie Chicks, The",Cold Day In July,2000-06-24,8,70.0
2616,"Dixie Chicks, The",Cold Day In July,2000-06-24,9,84.0
2933,"Dixie Chicks, The",Cold Day In July,2000-06-24,10,91.0
81,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,1,79.0
398,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,2,72.0
715,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,3,70.0
1032,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,4,61.0
1349,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,5,52.0
1666,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,6,52.0
1983,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,7,52.0
2300,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,8,39.0
2617,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,9,31.0
2934,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,10,27.0
3251,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,11,27.0
3568,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,12,27.0
3885,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,13,31.0
4202,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,14,37.0
4519,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,15,40.0
4836,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,16,47.0
5153,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,17,51.0
5470,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,18,56.0
5787,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,19,59.0
6104,"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,20,59.0
82,"Dixie Chicks, The",Goodbye Earl,2000-03-18,1,40.0
399,"Dixie Chicks, The",Goodbye Earl,2000-03-18,2,29.0
716,"Dixie Chicks, The",Goodbye Earl,2000-03-18,3,24.0
1033,"Dixie Chicks, The",Goodbye Earl,2000-03-18,4,24.0
1350,"Dixie Chicks, The",Goodbye Earl,2000-03-18,5,20.0
1667,"Dixie Chicks, The",Goodbye Earl,2000-03-18,6,20.0
1984,"Dixie Chicks, The",Goodbye Earl,2000-03-18,7,20.0
2301,"Dixie Chicks, The",Goodbye Earl,2000-03-18,8,19.0
2618,"Dixie Chicks, The",Goodbye Earl,2000-03-18,9,38.0
2935,"Dixie Chicks, The",Goodbye Earl,2000-03-18,10,61.0
3252,"Dixie Chicks, The",Goodbye Earl,2000-03-18,11,86.0
3569,"Dixie Chicks, The",Goodbye Earl,2000-03-18,12,88.0
3886,"Dixie Chicks, The",Goodbye Earl,2000-03-18,13,96.0
4203,"Dixie Chicks, The",Goodbye Earl,2000-03-18,14,96.0
4520,"Dixie Chicks, The",Goodbye Earl,2000-03-18,15,98.0
83,"Dixie Chicks, The",Without You,2000-10-07,1,80.0
400,"Dixie Chicks, The",Without You,2000-10-07,2,70.0
717,"Dixie Chicks, The",Without You,2000-10-07,3,63.0
1034,"Dixie Chicks, The",Without You,2000-10-07,4,56.0
1351,"Dixie Chicks, The",Without You,2000-10-07,5,50.0
1668,"Dixie Chicks, The",Without You,2000-10-07,6,49.0
1985,"Dixie Chicks, The",Without You,2000-10-07,7,48.0
2302,"Dixie Chicks, The",Without You,2000-10-07,8,46.0
2619,"Dixie Chicks, The",Without You,2000-10-07,9,41.0
2936,"Dixie Chicks, The",Without You,2000-10-07,10,40.0
3253,"Dixie Chicks, The",Without You,2000-10-07,11,35.0
3570,"Dixie Chicks, The",Without You,2000-10-07,12,31.0
3887,"Dixie Chicks, The",Without You,2000-10-07,13,33.0
4204,"Dixie Chicks, The",Without You,2000-10-07,14,44.0
4521,"Dixie Chicks, The",Without You,2000-10-07,15,36.0
4838,"Dixie Chicks, The",Without You,2000-10-07,16,35.0
5155,"Dixie Chicks, The",Without You,2000-10-07,17,37.0
5472,"Dixie Chicks, The",Without You,2000-10-07,18,43.0
5789,"Dixie Chicks, The",Without You,2000-10-07,19,51.0
6106,"Dixie Chicks, The",Without You,2000-10-07,20,54.0
84,Dr. Dre,Forgot About Dre,2000-01-22,1,75.0
401,Dr. Dre,Forgot About Dre,2000-01-22,2,55.0
718,Dr. Dre,Forgot About Dre,2000-01-22,3,47.0
1035,Dr. Dre,Forgot About Dre,2000-01-22,4,36.0
1352,Dr. Dre,Forgot About Dre,2000-01-22,5,36.0
1669,Dr. Dre,Forgot About Dre,2000-01-22,6,30.0
1986,Dr. Dre,Forgot About Dre,2000-01-22,7,30.0
2303,Dr. Dre,Forgot About Dre,2000-01-22,8,31.0
2620,Dr. Dre,Forgot About Dre,2000-01-22,9,26.0
2937,Dr. Dre,Forgot About Dre,2000-01-22,10,25.0
3254,Dr. Dre,Forgot About Dre,2000-01-22,11,25.0
3571,Dr. Dre,Forgot About Dre,2000-01-22,12,26.0
3888,Dr. Dre,Forgot About Dre,2000-01-22,13,26.0
4205,Dr. Dre,Forgot About Dre,2000-01-22,14,28.0
4522,Dr. Dre,Forgot About Dre,2000-01-22,15,34.0
4839,Dr. Dre,Forgot About Dre,2000-01-22,16,47.0
5156,Dr. Dre,Forgot About Dre,2000-01-22,17,58.0
5473,Dr. Dre,Forgot About Dre,2000-01-22,18,68.0
5790,Dr. Dre,Forgot About Dre,2000-01-22,19,80.0
6107,Dr. Dre,Forgot About Dre,2000-01-22,20,82.0
85,Dr. Dre,The Next Episode,2000-05-27,1,78.0
402,Dr. Dre,The Next Episode,2000-05-27,2,67.0
719,Dr. Dre,The Next Episode,2000-05-27,3,58.0
1036,Dr. Dre,The Next Episode,2000-05-27,4,53.0
1353,Dr. Dre,The Next Episode,2000-05-27,5,46.0
1670,Dr. Dre,The Next Episode,2000-05-27,6,41.0
1987,Dr. Dre,The Next Episode,2000-05-27,7,32.0
2304,Dr. Dre,The Next Episode,2000-05-27,8,27.0
2621,Dr. Dre,The Next Episode,2000-05-27,9,26.0
2938,Dr. Dre,The Next Episode,2000-05-27,10,23.0
3255,Dr. Dre,The Next Episode,2000-05-27,11,26.0
3572,Dr. Dre,The Next Episode,2000-05-27,12,27.0
3889,Dr. Dre,The Next Episode,2000-05-27,13,32.0
4206,Dr. Dre,The Next Episode,2000-05-27,14,32.0
4523,Dr. Dre,The Next Episode,2000-05-27,15,44.0
4840,Dr. Dre,The Next Episode,2000-05-27,16,46.0
5157,Dr. Dre,The Next Episode,2000-05-27,17,47.0
5474,Dr. Dre,The Next Episode,2000-05-27,18,50.0
5791,Dr. Dre,The Next Episode,2000-05-27,19,52.0
6108,Dr. Dre,The Next Episode,2000-05-27,20,58.0
86,Drama,"Left, Right, Left",2000-02-12,1,100.0
403,Drama,"Left, Right, Left",2000-02-12,2,98.0
720,Drama,"Left, Right, Left",2000-02-12,3,89.0
1037,Drama,"Left, Right, Left",2000-02-12,4,80.0
1354,Drama,"Left, Right, Left",2000-02-12,5,75.0
1671,Drama,"Left, Right, Left",2000-02-12,6,73.0
1988,Drama,"Left, Right, Left",2000-02-12,7,80.0
2305,Drama,"Left, Right, Left",2000-02-12,8,86.0
2622,Drama,"Left, Right, Left",2000-02-12,9,91.0
2939,Drama,"Left, Right, Left",2000-02-12,10,96.0
3256,Drama,"Left, Right, Left",2000-02-12,11,100.0
3573,Drama,"Left, Right, Left",2000-02-12,12,98.0
3890,Drama,"Left, Right, Left",2000-02-12,13,96.0
87,Dream,He Loves U Not,2000-09-30,1,99.0
404,Dream,He Loves U Not,2000-09-30,2,92.0
721,Dream,He Loves U Not,2000-09-30,3,81.0
1038,Dream,He Loves U Not,2000-09-30,4,59.0
1355,Dream,He Loves U Not,2000-09-30,5,47.0
1672,Dream,He Loves U Not,2000-09-30,6,42.0
1989,Dream,He Loves U Not,2000-09-30,7,32.0
2306,Dream,He Loves U Not,2000-09-30,8,27.0
2623,Dream,He Loves U Not,2000-09-30,9,18.0
2940,Dream,He Loves U Not,2000-09-30,10,18.0
3257,Dream,He Loves U Not,2000-09-30,11,11.0
3574,Dream,He Loves U Not,2000-09-30,12,8.0
3891,Dream,He Loves U Not,2000-09-30,13,5.0
4208,Dream,He Loves U Not,2000-09-30,14,2.0
4525,Dream,He Loves U Not,2000-09-30,15,2.0
4842,Dream,He Loves U Not,2000-09-30,16,3.0
5159,Dream,He Loves U Not,2000-09-30,17,3.0
5476,Dream,He Loves U Not,2000-09-30,18,3.0
5793,Dream,He Loves U Not,2000-09-30,19,7.0
6110,Dream,He Loves U Not,2000-09-30,20,9.0
6427,Dream,He Loves U Not,2000-09-30,21,10.0
6744,Dream,He Loves U Not,2000-09-30,22,11.0
7061,Dream,He Loves U Not,2000-09-30,23,10.0
7378,Dream,He Loves U Not,2000-09-30,24,19.0
7695,Dream,He Loves U Not,2000-09-30,25,23.0
8012,Dream,He Loves U Not,2000-09-30,26,28.0
8329,Dream,He Loves U Not,2000-09-30,27,38.0
8646,Dream,He Loves U Not,2000-09-30,28,46.0
88,"Eastsidaz, The",G'D Up,2000-01-08,1,77.0
405,"Eastsidaz, The",G'D Up,2000-01-08,2,77.0
722,"Eastsidaz, The",G'D Up,2000-01-08,3,89.0
1039,"Eastsidaz, The",G'D Up,2000-01-08,4,64.0
1356,"Eastsidaz, The",G'D Up,2000-01-08,5,57.0
1673,"Eastsidaz, The",G'D Up,2000-01-08,6,47.0
1990,"Eastsidaz, The",G'D Up,2000-01-08,7,47.0
2307,"Eastsidaz, The",G'D Up,2000-01-08,8,55.0
2624,"Eastsidaz, The",G'D Up,2000-01-08,9,65.0
2941,"Eastsidaz, The",G'D Up,2000-01-08,10,69.0
3258,"Eastsidaz, The",G'D Up,2000-01-08,11,83.0
3575,"Eastsidaz, The",G'D Up,2000-01-08,12,82.0
3892,"Eastsidaz, The",G'D Up,2000-01-08,13,90.0
4209,"Eastsidaz, The",G'D Up,2000-01-08,14,94.0
89,"Eastsidaz, The",Got Beef,2000-07-01,1,99.0
406,"Eastsidaz, The",Got Beef,2000-07-01,2,99.0
90,Eiffel 65,Blue,1999-12-11,1,67.0
407,Eiffel 65,Blue,1999-12-11,2,29.0
724,Eiffel 65,Blue,1999-12-11,3,16.0
1041,Eiffel 65,Blue,1999-12-11,4,16.0
1358,Eiffel 65,Blue,1999-12-11,5,13.0
1675,Eiffel 65,Blue,1999-12-11,6,11.0
1992,Eiffel 65,Blue,1999-12-11,7,9.0
2309,Eiffel 65,Blue,1999-12-11,8,6.0
2626,Eiffel 65,Blue,1999-12-11,9,7.0
2943,Eiffel 65,Blue,1999-12-11,10,9.0
3260,Eiffel 65,Blue,1999-12-11,11,13.0
3577,Eiffel 65,Blue,1999-12-11,12,19.0
3894,Eiffel 65,Blue,1999-12-11,13,21.0
4211,Eiffel 65,Blue,1999-12-11,14,24.0
4528,Eiffel 65,Blue,1999-12-11,15,32.0
4845,Eiffel 65,Blue,1999-12-11,16,42.0
5162,Eiffel 65,Blue,1999-12-11,17,56.0
5479,Eiffel 65,Blue,1999-12-11,18,60.0
5796,Eiffel 65,Blue,1999-12-11,19,76.0
6113,Eiffel 65,Blue,1999-12-11,20,88.0
91,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,1,36.0
408,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,2,21.0
725,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,3,13.0
1042,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,4,9.0
1359,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,5,7.0
1676,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,6,7.0
1993,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,7,5.0
2310,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,8,7.0
2627,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,9,7.0
2944,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,10,7.0
3261,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,11,8.0
3578,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,12,11.0
3895,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,13,7.0
4212,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,14,10.0
4529,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,15,11.0
4846,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,16,12.0
5163,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,17,15.0
5480,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,18,17.0
5797,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,19,23.0
6114,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,20,30.0
6431,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,21,38.0
92,Eminem,Stan,2000-11-04,1,78.0
409,Eminem,Stan,2000-11-04,2,67.0
726,Eminem,Stan,2000-11-04,3,57.0
1043,Eminem,Stan,2000-11-04,4,57.0
1360,Eminem,Stan,2000-11-04,5,51.0
1677,Eminem,Stan,2000-11-04,6,51.0
1994,Eminem,Stan,2000-11-04,7,51.0
2311,Eminem,Stan,2000-11-04,8,57.0
2628,Eminem,Stan,2000-11-04,9,55.0
2945,Eminem,Stan,2000-11-04,10,70.0
3262,Eminem,Stan,2000-11-04,11,69.0
3579,Eminem,Stan,2000-11-04,12,77.0
3896,Eminem,Stan,2000-11-04,13,88.0
4213,Eminem,Stan,2000-11-04,14,93.0
4530,Eminem,Stan,2000-11-04,15,100.0
93,Eminem,The Real Slim Shady,2000-05-06,1,70.0
410,Eminem,The Real Slim Shady,2000-05-06,2,32.0
727,Eminem,The Real Slim Shady,2000-05-06,3,20.0
1044,Eminem,The Real Slim Shady,2000-05-06,4,16.0
1361,Eminem,The Real Slim Shady,2000-05-06,5,11.0
1678,Eminem,The Real Slim Shady,2000-05-06,6,7.0
1995,Eminem,The Real Slim Shady,2000-05-06,7,6.0
2312,Eminem,The Real Slim Shady,2000-05-06,8,4.0
2629,Eminem,The Real Slim Shady,2000-05-06,9,5.0
2946,Eminem,The Real Slim Shady,2000-05-06,10,4.0
3263,Eminem,The Real Slim Shady,2000-05-06,11,8.0
3580,Eminem,The Real Slim Shady,2000-05-06,12,9.0
3897,Eminem,The Real Slim Shady,2000-05-06,13,16.0
4214,Eminem,The Real Slim Shady,2000-05-06,14,30.0
4531,Eminem,The Real Slim Shady,2000-05-06,15,49.0
4848,Eminem,The Real Slim Shady,2000-05-06,16,68.0
5165,Eminem,The Real Slim Shady,2000-05-06,17,83.0
5482,Eminem,The Real Slim Shady,2000-05-06,18,88.0
5799,Eminem,The Real Slim Shady,2000-05-06,19,98.0
94,Eminem,The Way I Am,2000-08-26,1,87.0
411,Eminem,The Way I Am,2000-08-26,2,74.0
728,Eminem,The Way I Am,2000-08-26,3,59.0
1045,Eminem,The Way I Am,2000-08-26,4,65.0
1362,Eminem,The Way I Am,2000-08-26,5,59.0
1679,Eminem,The Way I Am,2000-08-26,6,58.0
1996,Eminem,The Way I Am,2000-08-26,7,59.0
2313,Eminem,The Way I Am,2000-08-26,8,62.0
2630,Eminem,The Way I Am,2000-08-26,9,89.0
2947,Eminem,The Way I Am,2000-08-26,10,86.0
95,En Vogue,Riddle,2000-06-17,1,92.0
412,En Vogue,Riddle,2000-06-17,2,92.0
729,En Vogue,Riddle,2000-06-17,3,97.0
1046,En Vogue,Riddle,2000-06-17,4,100.0
96,"Estefan, Gloria",No Me Dejes De Quere...,2000-06-10,1,77.0
97,"Evans, Sara",Born To Fly,2000-10-21,1,77.0
414,"Evans, Sara",Born To Fly,2000-10-21,2,71.0
731,"Evans, Sara",Born To Fly,2000-10-21,3,64.0
1048,"Evans, Sara",Born To Fly,2000-10-21,4,57.0
1365,"Evans, Sara",Born To Fly,2000-10-21,5,55.0
1682,"Evans, Sara",Born To Fly,2000-10-21,6,51.0
1999,"Evans, Sara",Born To Fly,2000-10-21,7,46.0
2316,"Evans, Sara",Born To Fly,2000-10-21,8,44.0
2633,"Evans, Sara",Born To Fly,2000-10-21,9,36.0
2950,"Evans, Sara",Born To Fly,2000-10-21,10,39.0
3267,"Evans, Sara",Born To Fly,2000-10-21,11,34.0
3584,"Evans, Sara",Born To Fly,2000-10-21,12,46.0
3901,"Evans, Sara",Born To Fly,2000-10-21,13,44.0
4218,"Evans, Sara",Born To Fly,2000-10-21,14,36.0
4535,"Evans, Sara",Born To Fly,2000-10-21,15,42.0
4852,"Evans, Sara",Born To Fly,2000-10-21,16,53.0
5169,"Evans, Sara",Born To Fly,2000-10-21,17,58.0
5486,"Evans, Sara",Born To Fly,2000-10-21,18,74.0
5803,"Evans, Sara",Born To Fly,2000-10-21,19,81.0
6120,"Evans, Sara",Born To Fly,2000-10-21,20,86.0
98,Eve,Got It All,2000-07-15,1,89.0
415,Eve,Got It All,2000-07-15,2,88.0
732,Eve,Got It All,2000-07-15,3,88.0
1049,Eve,Got It All,2000-07-15,4,91.0
1366,Eve,Got It All,2000-07-15,5,95.0
99,Eve,Love Is Blind,2000-01-08,1,94.0
416,Eve,Love Is Blind,2000-01-08,2,91.0
733,Eve,Love Is Blind,2000-01-08,3,57.0
1050,Eve,Love Is Blind,2000-01-08,4,46.0
1367,Eve,Love Is Blind,2000-01-08,5,46.0
1684,Eve,Love Is Blind,2000-01-08,6,40.0
2001,Eve,Love Is Blind,2000-01-08,7,34.0
2318,Eve,Love Is Blind,2000-01-08,8,39.0
2635,Eve,Love Is Blind,2000-01-08,9,42.0
